Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName
1,5,174,47,3,46,31
1,5,174,27,3,46,171
1,5,241,27,0,48,733
4,6,76,1,1,43,929
1,5,241,67,4,29,606
1,17,53,2,1,43,935
4,22,35,1,6,20,47
1,18,172,38,3,46,315
4,22,75,1,3,46,540
4,22,26,49,1,43,909
1,18,172,67,2,33,839
1,20,33,1,3,36,476
4,22,191,47,6,20,449
1,18,172,38,0,48,301
1,20,27,1,2,33,793
1,18,172,67,3,46,891
4,22,58,1,3,46,224
4,22,75,1,6,20,231
4,22,169,1,3,36,138
4,22,122,1,3,46,577
1,5,241,27,5,19,774
1,20,107,58,0,48,513
1,18,172,67,2,33,793
1,17,161,2,4,29,161
4,22,231,1,0,49,240
1,18,172,67,0,49,884
1,20,27,1,2,33,793
1,17,161,1,2,33,348
1,20,107,1,0,49,884
4,0,0,1,1,43,929
1,0,0,1,1,4,41
1,18,172,38,1,4,41
1,20,185,1,3,36,663
4,15,29,47,6,39,75
1,18,172,23,1,4,41
1,18,172,67,0,49,240
1,18,172,38,2,33,512
1,5,174,67,0,49,240
4,22,169,47,5,3,0
1,5,174,67,0,49,240
1,18,172,67,2,33,512
1,18,172,38,0,48,301
1,0,0,1,1,4,155
4,22,58,1,3,36,936
1,5,174,1,3,46,640
4,22,58,1,3,36,936
1,0,0,47,1,4,833
4,22,48,1,6,20,450
4,11,157,1,3,46,640
1,5,174,23,1,4,446
1,16,70,54,3,36,138
4,22,32,1,3,46,843
1,5,241,47,1,43,389
4,22,191,55,6,39,687
4,22,191,1,6,20,231
1,18,172,67,3,46,409
4,0,0,27,1,43,389
4,22,75,1,6,20,231
4,22,191,47,6,20,231
1,18,172,67,0,49,240
1,17,108,1,3,36,939
1,18,172,67,3,46,151
1,5,174,67,0,49,240
1,17,108,1,3,36,936
1,18,172,67,0,49,240
1,18,172,67,0,49,240
1,18,172,67,0,49,21
1,18,172,67,3,36,847
1,5,241,68,2,33,348
1,18,172,67,0,49,21
1,18,172,67,3,36,491
1,5,174,67,0,49,21
1,5,241,23,1,4,864
1,18,172,67,0,49,21
1,5,174,67,0,49,240
1,5,174,67,0,49,240
4,22,191,1,6,39,296
4,22,231,23,1,4,833
1,20,185,47,3,46,189
4,11,148,47,3,36,491
1,5,241,47,1,4,864
1,5,174,1,3,36,484
1,18,172,38,1,43,929
